4409168,UNKNOWN,4,0,0,0,Other_Unknown,PICK-UP TRUCK
4465896,UNKNOWN,10,20,0,1,Other_Unknown,SEDAN
4427108,UNKNOWN,6,14,0,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE
4418988,BROOKLYN,5,16,1,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE
4427558,UNKNOWN,6,16,1,0,Human_Error,STATION WAGON/SPORT UTILITY VEHICLE
4491510,QUEENS,1,16,1,1,Human_Error,SEDAN
4598353,UNKNOWN,1,1,0,1,Human_Error,SEDAN
4491638,QUEENS,1,20,0,1,Aggressive_Driving,SEDAN
4489451,BRONX,12,17,1,0,Distraction,STATION WAGON/SPORT UTILITY VEHICLE
4411030,QUEENS,4,15,0,1,Other_Unknown,SEDAN
4466211,BROOKLYN,10,16,1,0,Distraction,STATION WAGON/SPORT UTILITY VEHICLE
4462190,MANHATTAN,9,18,1,0,Distraction,STATION WAGON/SPORT UTILITY VEHICLE
4516436,MANHATTAN,3,14,0,0,Human_Error,SEDAN
4488093,UNKNOWN,12,18,1,0,Distraction,STATION WAGON/SPORT UTILITY VEHICLE
4492092,BRONX,12,19,0,0,Distraction,BUS
4419086,QUEENS,5,17,1,1,Distraction,SEDAN
4462032,UNKNOWN,9,12,0,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE
4488143,UNKNOWN,12,7,1,0,Road_Conditions,SEDAN
4489894,BRONX,12,23,0,1,Other_Unknown,SEDAN
4411853,MANHATTAN,4,2,0,0,Distraction,OTHER
4419433,UNKNOWN,5,10,0,1,Aggressive_Driving,STATION WAGON/SPORT UTILITY VEHICLE
4428469,UNKNOWN,6,18,1,0,Human_Error,BOX TRUCK
4411054,UNKNOWN,4,9,1,0,Distraction,STATION WAGON/SPORT UTILITY VEHICLE
4429201,UNKNOWN,6,2,0,1,Other_Unknown,SEDAN
4420309,UNKNOWN,5,11,0,0,Human_Error,STATION WAGON/SPORT UTILITY VEHICLE
4411937,BROOKLYN,4,8,1,0,Human_Error,SEDAN
4566317,QUEENS,9,0,0,0,Other_Unknown,OTHER
4420621,QUEENS,5,10,0,0,Distraction,SEDAN
4411382,BROOKLYN,4,8,1,0,Distraction,SEDAN
4429913,QUEENS,6,0,0,0,Aggressive_Driving,SEDAN
4462520,UNKNOWN,9,9,1,0,Other_Unknown,SEDAN
4516415,UNKNOWN,4,4,0,0,Human_Error,STATION WAGON/SPORT UTILITY VEHICLE
4462430,UNKNOWN,9,6,0,0,Other_Unknown,BUS
4459235,UNKNOWN,9,16,1,1,Distraction,STATION WAGON/SPORT UTILITY VEHICLE
4412113,UNKNOWN,5,2,0,1,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE
4429661,QUEENS,6,21,0,0,Human_Error,SEDAN
4412956,QUEENS,4,5,0,0,Human_Error,SEDAN
4651356,UNKNOWN,8,1,0,0,Human_Error,SEDAN
4430161,UNKNOWN,6,11,0,0,Other_Unknown,SEDAN
4420773,UNKNOWN,5,8,1,0,Human_Error,SEDAN
4430480,QUEENS,6,0,0,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE
4413273,QUEENS,5,23,0,0,Aggressive_Driving,STATION WAGON/SPORT UTILITY VEHICLE
4516844,UNKNOWN,4,17,1,0,Human_Error,SEDAN
4422284,MANHATTAN,5,18,1,0,Human_Error,SEDAN
4493458,MANHATTAN,1,20,0,1,Distraction,BUS
4485279,BROOKLYN,12,22,0,1,Other_Unknown,SEDAN
4430755,UNKNOWN,6,22,0,0,Distraction,STATION WAGON/SPORT UTILITY VEHICLE
4422858,UNKNOWN,5,20,0,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE
4516576,UNKNOWN,4,0,0,0,Distraction,STATION WAGON/SPORT UTILITY VEHICLE
4516952,UNKNOWN,4,20,0,1,Aggressive_Driving,SEDAN
4414608,UNKNOWN,5,12,0,0,Distraction,OTHER
4413816,MANHATTAN,5,23,0,0,Other_Unknown,SEDAN
4414435,UNKNOWN,5,17,1,0,Aggressive_Driving,OTHER
4414215,UNKNOWN,5,21,0,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE
4543620,MANHATTAN,7,16,1,1,Other_Unknown,SEDAN
4490247,STATEN ISLAND,12,15,0,0,Other_Unknown,SEDAN
4463666,QUEENS,10,19,0,1,Human_Error,SEDAN
4413786,QUEENS,5,21,0,0,Distraction,SEDAN
4459983,BROOKLYN,9,14,0,0,Other_Unknown,SEDAN
4423107,UNKNOWN,6,10,0,0,Aggressive_Driving,STATION WAGON/SPORT UTILITY VEHICLE
4423661,BROOKLYN,5,8,1,0,Distraction,STATION WAGON/SPORT UTILITY VEHICLE
4424263,UNKNOWN,6,23,0,0,Distraction,STATION WAGON/SPORT UTILITY VEHICLE
4424053,UNKNOWN,6,14,0,0,Distraction,OTHER
4423889,UNKNOWN,4,8,1,0,Other_Unknown,BOX TRUCK
4542913,BRONX,7,12,0,0,Aggressive_Driving,SEDAN
4432695,UNKNOWN,6,23,0,0,Other_Unknown,SEDAN
4423657,QUEENS,6,2,0,1,Other_Unknown,PICK-UP TRUCK
4424467,STATEN ISLAND,6,13,0,1,Other_Unknown,SEDAN
4494229,BRONX,1,10,0,0,Other_Unknown,SEDAN
4517320,BROOKLYN,4,17,1,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE
4456522,UNKNOWN,9,14,0,0,Human_Error,SEDAN
4424701,BROOKLYN,6,17,1,0,Aggressive_Driving,E-BIKE
4416515,MANHATTAN,5,13,0,0,Other_Unknown,SEDAN
4465369,QUEENS,10,16,1,0,Distraction,SEDAN
