borough,month,hour,is_rush_hour,is_weekend,cause_category,vehicle_type,target
BROOKLYN,12,20,0,0,Distraction,SEDAN,1
QUEENS,3,23,0,0,Other_Unknown,SEDAN,0
BRONX,3,12,0,0,Other_Unknown,SEDAN,0
UNKNOWN,3,17,1,0,Human_Error,PICK-UP TRUCK,1
QUEENS,12,1,0,0,Vehicle_Fail,SEDAN,0
UNKNOWN,9,10,0,0,Human_Error,OTHER,0
MANHATTAN,9,17,1,0,Distraction,STATION WAGON/SPORT UTILITY VEHICLE,1
MANHATTAN,6,14,0,1,Other_Unknown,OTHER,1
BROOKLYN,6,22,0,0,Other_Unknown,SEDAN,1
BRONX,5,9,1,0,Human_Error,SEDAN,1
UNKNOWN,6,20,0,1,Human_Error,STATION WAGON/SPORT UTILITY VEHICLE,0
BRONX,9,10,0,0,Distraction,SEDAN,0
UNKNOWN,4,23,0,1,DUI_Drugs,OTHER,1
BROOKLYN,12,19,0,0,Human_Error,SEDAN,0
UNKNOWN,6,10,0,0,Other_Unknown,SEDAN,0
QUEENS,12,16,1,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,0
BRONX,5,15,0,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,0
UNKNOWN,6,2,0,1,Distraction,SEDAN,0
UNKNOWN,9,7,1,1,Other_Unknown,SEDAN,0
BRONX,12,8,1,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,0
UNKNOWN,12,10,0,0,Aggressive_Driving,SEDAN,0
UNKNOWN,12,18,1,0,Distraction,STATION WAGON/SPORT UTILITY VEHICLE,0
UNKNOWN,9,6,0,1,Distraction,STATION WAGON/SPORT UTILITY VEHICLE,0
UNKNOWN,12,23,0,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,0
BROOKLYN,12,10,0,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,0
BRONX,9,21,0,1,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,0
QUEENS,9,15,0,1,Distraction,SEDAN,0
UNKNOWN,9,13,0,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,1
BROOKLYN,10,16,1,0,Human_Error,BUS,0
BRONX,9,16,1,1,Other_Unknown,SEDAN,0
UNKNOWN,9,18,1,0,Distraction,SEDAN,0
UNKNOWN,9,8,1,0,Road_Conditions,STATION WAGON/SPORT UTILITY VEHICLE,1
STATEN ISLAND,12,13,0,1,Distraction,BOX TRUCK,0
UNKNOWN,10,21,0,1,Other_Unknown,BIKE,1
BRONX,10,10,0,1,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,1
BRONX,1,16,1,1,Other_Unknown,SEDAN,0
UNKNOWN,12,20,0,0,Distraction,STATION WAGON/SPORT UTILITY VEHICLE,1
UNKNOWN,9,1,0,1,Aggressive_Driving,STATION WAGON/SPORT UTILITY VEHICLE,0
BRONX,4,10,0,0,Other_Unknown,SEDAN,0
MANHATTAN,12,12,0,0,Human_Error,STATION WAGON/SPORT UTILITY VEHICLE,0
UNKNOWN,12,13,0,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,0
UNKNOWN,12,4,0,0,Road_Conditions,STATION WAGON/SPORT UTILITY VEHICLE,0
BROOKLYN,4,17,1,0,Distraction,SEDAN,0
BROOKLYN,6,2,0,1,Other_Unknown,SEDAN,1
MANHATTAN,4,21,0,0,Distraction,SEDAN,1
BROOKLYN,12,22,0,0,Other_Unknown,SEDAN,0
UNKNOWN,4,12,0,0,Distraction,STATION WAGON/SPORT UTILITY VEHICLE,0
BRONX,3,15,0,0,Other_Unknown,UNKNOWN,1
BROOKLYN,6,5,0,1,Other_Unknown,OTHER,0
UNKNOWN,6,0,0,1,Other_Unknown,SEDAN,0
QUEENS,4,12,0,0,Distraction,SEDAN,1
QUEENS,6,21,0,1,Other_Unknown,E-BIKE,1
BROOKLYN,4,11,0,0,Other_Unknown,MOTORCYCLE,1
UNKNOWN,1,6,0,1,Road_Conditions,STATION WAGON/SPORT UTILITY VEHICLE,0
BRONX,4,13,0,0,Human_Error,OTHER,1
UNKNOWN,12,0,0,0,Distraction,SEDAN,0
QUEENS,4,8,1,0,Human_Error,STATION WAGON/SPORT UTILITY VEHICLE,0
UNKNOWN,4,7,1,0,Other_Unknown,OTHER,0
MANHATTAN,4,13,0,0,Other_Unknown,SEDAN,0
UNKNOWN,4,10,0,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,1
BRONX,4,17,1,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,0
UNKNOWN,4,8,1,1,Human_Error,OTHER,0
QUEENS,4,9,1,0,Distraction,STATION WAGON/SPORT UTILITY VEHICLE,0
UNKNOWN,6,19,0,0,Human_Error,STATION WAGON/SPORT UTILITY VEHICLE,0
QUEENS,5,12,0,0,Aggressive_Driving,SEDAN,0
UNKNOWN,5,22,0,0,DUI_Drugs,SEDAN,0
QUEENS,9,15,0,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,0
UNKNOWN,6,5,0,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,1
BRONX,6,16,1,0,Other_Unknown,SEDAN,0
MANHATTAN,5,20,0,0,Distraction,E-BIKE,1
QUEENS,5,13,0,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,0
UNKNOWN,9,14,0,0,Human_Error,OTHER,0
QUEENS,5,13,0,0,Aggressive_Driving,STATION WAGON/SPORT UTILITY VEHICLE,0
UNKNOWN,6,17,1,0,Other_Unknown,PICK-UP TRUCK,0
BROOKLYN,5,12,0,0,Other_Unknown,OTHER,0
BRONX,6,17,1,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,0
UNKNOWN,10,2,0,1,Aggressive_Driving,PICK-UP TRUCK,0
UNKNOWN,12,12,0,0,Distraction,SEDAN,0
BRONX,7,9,1,1,Other_Unknown,SEDAN,1
UNKNOWN,6,4,0,1,Distraction,STATION WAGON/SPORT UTILITY VEHICLE,1
UNKNOWN,12,20,0,0,Distraction,SEDAN,1
